symbol,token_address,coingecko_id,always_watch,exchange,borsa
EDC,0x9d5963ba32e877871dff3e2e697283dc64066271,aga-rewards,False,"binance,gate",binance
AGA,0x2d80f5f5328fdcb6eceb7cacf5dd8aedaec94e20,aga-token,False,"binance,gate",binance
AITV,0x04e69ff14a86e1ca9a155a8563e95887973ee175,agentcoin-tv,False,"binance,gate",binance
AGTS,0x55bd5f6a1caea02c4f1eae6119b2ac0babab2c9f,agentensor,False,"binance,gate",binance
AGI,0xb8690004604b0352b3832408ba7e02fe717e9cfd,agently,False,"binance,gate",binance
AGSYS,0x9ba77c059b5a59a220aa648a6bd97986fb1bf0a9,agentsys-ai,False,"binance,gate",binance
AGV,0x31ef6148cae611421c5d5c58649faf6b412f6422,agentverse,False,"binance,gate",binance
AVM,0xf5f52266a57e6d7312da39bd7ab9527b9e975c40,agent-virtual-machine,False,"binance,gate",binance
EURA,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,ageur,False,"binance,gate",binance
AGII,0x75d86078625d1e2f612de2627d34c7bc411c18b8,agii,False,"binance,gate",binance
AGI,0x5f18ea482ad5cc6bc65803817c99f477043dce85,agility,False,"binance,gate",binance
AGN,0x550775e17ed6767621a1aed580e6eb29ede981e9,agnus-ai,False,"binance,gate",binance
AUSD,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,agora-dollar,False,"binance,gate",binance
AGA,0x87b46212e805a3998b7e8077e9019c90759ea88c,agorahub,False,"binance,gate",binance
AGRS,0x738865301a9b7dd80dc3666dd48cf034ec42bdda,agoras-currency-of-tau,False,"binance,gate",binance
DLT,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,agrello,False,"binance,gate",binance
AGURI,0x8e42fe26fc1697f57076c9f2a8d1ff69cf7f6fda,aguri-chan,False,"binance,gate",binance
CAW,0xf3b9569f82b18aef890de263b84189bd33ebe452,a-hunters-dream,False,"binance,gate",binance
AIAF,0x92d3447e956613ee066ad5b4077a8c6e66424d5d,ai-agent-factory,False,"binance,gate",binance
AIAT,0x0501b9188436e35bb10f35998c40adc079003866,ai-analysis-token,False,"binance,gate",binance
AIT,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,aichain,False,"binance,gate",binance
AICM,0x87904be82bc1c29e94a0b99474d183b4e08a7e47,aicm-marketplace,False,"binance,gate",binance
AI.COM,0x9d1a74967eca155782edf8e84782c74db33fc499,ai-com,False,"binance,gate",binance
